Company,No. of reported layoffs, workforce impacted,Announced/reported date,Industry,HQ,Source,Company Status
Sema4,750,16,11/14/2022,AI,Stamford,MarketWatch,Public
Intercom,124,13,11/14/2022,Customer service,San Franicsco,Silicon Republic,Private
Amazon,10000,3,11/14/2022,E-commerce,Seattle,New York Times,Public
Veev,100,30,11/11/2022,PropTech,San Mateo,Calcalistech,Private
Coinbase,1160,18,10/11/2022,Cryptocurrency,San Francisco,The Information,Public
Wavely,22,100,10/11/2022,HR Tech,Palo Alto,Wavely,Private
Reforge,0,0,10/11/2022,HR Tech,San Francisco,Reforge CEO,Private
Ocavu,20,48,10/11/2022,Cryptocurrency,Lehi,Salt Lake Tribune,Private
Wistia,40,45,10/11/2022,Video production,Cambridge,Wistia CEO,Private
SoundHound,45,10,10/11/2022,AI,Santa Clara,TechCrunch,Public
Juul,400,30,10/11/2022,Consumer goods,San Francisco,CNBC,Public
RingCentral,50,10,9/11/2022,SaaS,Belmont,Barron's,Public
AvantStay,224,30,9/11/2022,Travel,Los Angeles,Skift,Private
Redfin,1332,9,9/11/2022,PropTech,Seattle,Bloomberg,Public
Root Insurance,467,40,9/11/2022,InsurTech,Columbus,Columbus Dispatch,Public
Coursera,1200,42,9/11/2022,EdTech,Mountain View,Coursera CEO,Public
Amobee,0,0,9/11/2022,AdTech,Redwood City,Amobee,Private
Kabam,35,7,9/11/2022,Video games,San Francisco,TechCrunch,Private
Meta,1100,13,9/11/2022,Social Media,Menlo Park,CNBC,Public
SADA,55,11,8/11/2022,Cloud computing,Los Angeles,SADA CEO,Private
Astra,128,16,8/11/2022,Aerospace,Alameda,Astra CEO,Public
Salesforce,1090,5,7/11/2022,Enterprise Software,San Francisco,CNBC,Public
Domino Data Lab,62,25,7/11/2022,AI,San Francisco,LinkedIn reports,Private
Code42,91,15,7/11/2022,Cybersecurity,Minneapolis,Star Tribune,Private
Zendesk,350,5,7/11/2022,Customer service,San Francisco,SFGate,Public
Varonis Systems,110,5,6/11/2022,Cybersecurity,New York,Calcalistech,Private
Twitter,3700,50,4/11/2022,Social Media,San Francisco,Reuters,Public
Mythical Games,32,10,4/11/2022,Video games,Los Angeles,Bloomberg,Private
Benitago Group,3,14,4/11/2022,E-commerce,New York,TechCrunch,Private
Exodus,59,22,4/11/2022,Cryptocurrency,Nebraska City,Exodus CEO,Private
Stripe,1050,14,3/11/2022,FinTech,San Francisco,Bloomberg,Private
Lyft,760,15,3/11/2022,Transportation,San Francisco,WSJ,Public
Shippo,60,20,3/11/2022,Logistics,San Francisco,Shippo CEO,Private
Affirm,25,1,3/11/2022,FinTech,San Francisco,The Information,Public
Faire,84,7,3/11/2022,E-commerce,San Francisco,The Information,Private
Digital Currency Group,10,13,2/11/2022,Cryptocurrency,Stamford,Coindesk,Private
Iron Ox,50,50,2/11/2022,AgTech,San Francisco,TechCrunch,Private
